,Cluster,Nmembs
1064,UPK_265,116
1065,UPK_305,88
1066,UPK_369,11
1067,UPK_433,27
1068,UPK_442,570
1069,UPK_467,5
1070,UPK_470,5
1071,UPK_5,5
1072,UPK_562,26
1073,UPK_594,331
1074,UPK_614,16
1075,UPK_630,14
1076,UPK_80,6
1077,UPK_82,6
1078,UPK_93,6
1079,Waterloo_1,49
1080,Waterloo_7,22
1081,Westerlund_1,13
1082,vdBergh_1,19
1083,vdBergh_80,343
1084,vdBergh_83,220
1085,vdBergh_85,35
1086,vdBergh_92,342
